Index,Hours,Julian_day,Week_day,T_°C,SR_W/m2,p_mb,Prec_mm,RH_%,WD_°,WS_m/s,Class
1.0,0.0,1.0,2.0,11.94,0.0,727.81,0.0,88.32,200.28,0.87,1
16.0,15.0,1.0,2.0,17.85,306.32,724.53,0.0,43.06,92.28,2.5,0
32.0,7.0,2.0,3.0,9.39,21.19,724.8,0.0,64.57,232.68,0.86,1
44.0,19.0,2.0,3.0,15.66,0.0,723.92,0.0,61.68,27.72,2.52,0
67.0,18.0,3.0,4.0,16.88,48.01,722.87,0.0,62.67,69.0,2.87,1
55.0,6.0,3.0,4.0,10.77,0.0,724.53,0.0,92.93,142.8,1.01,0
83.0,10.0,4.0,5.0,15.62,340.73,726.18,0.0,70.11,145.92,1.72,1
94.0,21.0,4.0,5.0,14.65,0.0,725.83,0.0,69.04,130.2,2.06,0
117.0,20.0,5.0,6.0,14.05,0.0,726.18,0.1,80.33,293.88,1.29,1
109.0,12.0,5.0,6.0,18.31,611.48,726.18,0.0,56.32,148.92,1.6,0
139.0,18.0,6.0,0.0,12.57,5.31,724.79,1.3,93.99,159.12,2.02,1
141.0,20.0,6.0,0.0,11.87,0.0,726.18,0.3,94.35,128.64,1.32,0
158.0,13.0,7.0,1.0,14.4,81.63,726.18,0.0,72.65,94.92,1.62,1
160.0,15.0,7.0,1.0,12.04,126.32,724.76,0.9,92.03,26.88,1.2,0
187.0,18.0,8.0,2.0,11.94,2.64,724.61,4.7,94.09,86.64,1.27,1
186.0,17.0,8.0,2.0,13.23,50.08,724.53,0.1,84.58,115.92,1.74,0
202.0,9.0,9.0,3.0,12.46,197.76,727.69,0.0,86.98,171.72,1.08,1
216.0,23.0,9.0,3.0,11.83,0.0,727.26,0.4,90.75,140.04,0.88,0
232.0,15.0,10.0,4.0,14.39,304.4,724.53,0.0,77.22,151.68,1.48,1
226.0,9.0,10.0,4.0,12.4,132.2,726.42,0.1,86.17,106.56,0.92,0
261.0,20.0,11.0,5.0,12.72,0.0,726.18,0.0,82.82,297.12,0.75,1
252.0,11.0,11.0,5.0,16.69,682.17,727.54,0.0,66.31,150.96,1.7,0
285.0,20.0,12.0,6.0,12.11,0.0,726.45,2.3,85.65,236.64,3.1,1
277.0,12.0,12.0,6.0,19.95,921.08,726.99,0.0,39.99,185.16,1.79,0
297.0,8.0,13.0,0.0,11.81,169.52,727.47,0.0,75.39,52.44,1.13,1
311.0,22.0,13.0,0.0,12.32,0.0,727.83,0.0,90.68,179.64,0.82,0
332.0,19.0,14.0,1.0,13.98,0.0,725.75,0.0,76.99,213.6,0.96,1
329.0,16.0,14.0,1.0,17.06,161.06,724.53,0.0,62.7,138.6,3.25,0
344.0,7.0,15.0,2.0,9.41,13.41,726.18,0.0,80.18,216.6,1.14,1
342.0,5.0,15.0,2.0,9.02,0.0,726.15,0.0,84.18,248.88,0.8,0
368.0,7.0,16.0,3.0,11.43,15.29,726.18,0.0,71.97,188.52,1.74,1
377.0,16.0,16.0,3.0,18.96,474.81,722.87,0.0,50.05,69.96,4.11,0
393.0,8.0,17.0,4.0,13.72,165.72,726.18,0.0,81.73,146.04,1.06,1
394.0,9.0,17.0,4.0,16.2,421.15,726.18,0.0,60.32,173.52,2.59,0
417.0,8.0,18.0,5.0,12.64,128.89,727.36,0.0,76.16,94.56,1.24,1
431.0,22.0,18.0,5.0,13.76,0.0,727.29,0.0,63.09,235.2,2.13,0
453.0,20.0,19.0,6.0,15.06,0.0,726.43,0.0,70.45,29.76,2.09,1
448.0,15.0,19.0,6.0,18.16,383.04,726.04,0.0,50.0,75.48,3.0,0
465.0,8.0,20.0,0.0,12.93,154.87,726.71,0.0,78.19,161.04,1.28,1
477.0,20.0,20.0,0.0,14.91,0.0,726.17,0.0,67.39,24.72,2.01,0
489.0,8.0,21.0,1.0,12.4,140.73,726.86,0.0,84.52,135.24,0.87,1
499.0,18.0,21.0,1.0,16.85,107.43,724.53,0.0,63.56,87.36,2.32,0
524.0,19.0,22.0,2.0,14.0,0.0,724.98,0.0,88.66,155.04,1.83,1
517.0,12.0,22.0,2.0,17.09,464.92,726.34,0.0,63.94,72.24,1.86,0
548.0,19.0,23.0,3.0,16.21,0.0,725.34,0.0,57.62,130.68,1.95,1
534.0,5.0,23.0,3.0,12.32,0.0,726.17,0.0,91.56,200.76,1.29,0
563.0,10.0,24.0,4.0,16.45,678.65,727.84,0.0,51.99,130.92,1.65,1
555.0,2.0,24.0,4.0,12.06,0.0,726.89,0.0,83.54,235.32,1.19,0
578.0,1.0,25.0,5.0,12.08,0.0,727.7,0.0,90.74,127.92,1.01,1
583.0,6.0,25.0,5.0,11.17,0.0,726.18,0.0,79.91,275.16,0.86,0
601.0,0.0,26.0,6.0,10.67,0.0,727.86,0.0,93.98,175.68,1.77,1
604.0,3.0,26.0,6.0,10.81,0.0,726.18,0.0,85.46,252.36,1.6,0
632.0,7.0,27.0,0.0,11.3,0.28,726.17,0.0,97.54,157.08,1.05,1
636.0,11.0,27.0,0.0,15.87,363.37,726.23,0.0,66.28,197.16,1.59,0
657.0,8.0,28.0,1.0,12.24,122.61,726.18,0.0,89.08,169.56,0.99,1
649.0,0.0,28.0,1.0,12.4,0.0,726.68,0.0,91.89,116.88,1.1,0
683.0,10.0,29.0,2.0,15.89,590.28,726.18,0.1,68.46,157.32,1.32,1
682.0,9.0,29.0,2.0,13.65,257.02,726.18,0.0,80.71,145.56,1.06,0
714.0,17.0,30.0,3.0,16.39,155.9,723.63,0.0,59.67,25.92,2.65,1
708.0,11.0,30.0,3.0,17.81,805.99,726.18,0.0,51.82,76.68,1.63,0
730.0,9.0,31.0,4.0,14.96,430.99,725.88,0.0,60.49,179.76,2.92,1
737.0,16.0,31.0,4.0,19.02,574.52,722.87,0.0,51.84,72.48,3.45,0
753.0,8.0,32.0,5.0,11.58,167.06,725.37,0.0,83.6,208.8,0.9,1
748.0,3.0,32.0,5.0,10.28,0.0,724.53,0.0,91.9,195.36,1.16,0
777.0,8.0,33.0,6.0,12.41,171.16,726.18,0.0,74.85,204.72,1.24,1
771.0,2.0,33.0,6.0,11.54,0.0,726.07,0.0,92.34,190.92,1.33,0
801.0,8.0,34.0,0.0,12.02,147.93,726.17,0.0,83.98,177.6,2.03,1
812.0,19.0,34.0,0.0,13.66,0.0,724.56,0.0,84.07,165.24,1.91,0
836.0,19.0,35.0,1.0,11.98,0.0,725.3,0.0,89.73,151.08,1.67,1
829.0,12.0,35.0,1.0,18.9,892.54,725.88,0.0,54.54,74.76,1.85,0
857.0,16.0,36.0,2.0,14.52,156.41,724.54,0.0,70.29,82.94,1.27,1
842.0,1.0,36.0,2.0,11.76,0.0,726.21,0.0,88.46,183.0,1.11,0
883.0,18.0,37.0,3.0,15.64,66.2,724.53,0.0,62.5,172.56,3.49,1
876.0,11.0,37.0,3.0,17.63,924.06,726.29,0.0,53.02,108.48,2.0,0
898.0,9.0,38.0,4.0,14.84,431.17,726.38,0.0,67.72,127.56,1.35,1
910.0,21.0,38.0,4.0,13.54,0.0,726.17,0.0,85.41,123.96,1.75,0
933.0,20.0,39.0,5.0,14.65,0.0,724.87,0.0,71.05,81.12,1.71,1
924.0,11.0,39.0,5.0,18.02,544.37,726.18,0.0,55.35,104.52,1.67,0
958.0,21.0,40.0,6.0,13.88,0.0,725.59,0.0,78.28,87.72,1.42,1
954.0,17.0,40.0,6.0,17.17,236.34,722.87,0.0,57.41,188.04,3.83,0
972.0,11.0,41.0,0.0,15.76,247.7,726.18,0.0,67.18,83.28,2.0,1
975.0,14.0,41.0,0.0,17.75,161.21,724.89,0.0,49.23,28.68,1.7,0
994.0,9.0,42.0,1.0,15.23,295.46,726.18,0.0,59.89,89.4,0.94,1
1004.0,19.0,42.0,1.0,15.11,0.0,724.54,0.0,68.84,70.2,2.95,0
1017.0,8.0,43.0,2.0,11.39,136.39,726.18,0.0,82.0,266.4,0.95,1
1016.0,7.0,43.0,2.0,9.24,8.12,725.55,0.0,92.6,298.56,0.93,0
1041.0,8.0,44.0,3.0,11.49,144.68,726.19,0.0,88.53,136.32,1.22,1
1043.0,10.0,44.0,3.0,17.57,656.75,726.18,0.0,53.48,162.84,1.59,0
1078.0,21.0,45.0,4.0,11.96,0.0,727.19,0.6,94.77,142.32,1.02,1
1068.0,11.0,45.0,4.0,18.26,906.54,727.83,0.0,57.82,144.6,2.11,0
1081.0,0.0,46.0,5.0,12.11,0.0,727.84,0.0,93.39,146.4,1.19,1
1095.0,14.0,46.0,5.0,20.32,819.79,724.89,0.0,44.55,139.44,2.9,0
1123.0,18.0,47.0,6.0,14.86,13.42,724.53,0.1,74.7,185.16,1.55,1
1122.0,17.0,47.0,6.0,16.56,45.63,724.28,0.1,61.89,115.56,2.49,0
1146.0,17.0,48.0,0.0,17.21,119.64,723.36,0.0,59.78,155.52,2.62,1
1152.0,23.0,48.0,0.0,12.53,0.0,726.19,0.0,91.06,172.32,1.28,0
1160.0,7.0,49.0,1.0,10.66,9.88,726.1,0.0,84.36,262.56,0.72,1
1166.0,13.0,49.0,1.0,18.57,838.23,725.46,0.0,52.65,85.2,3.6,0
1179.0,2.0,50.0,2.0,11.95,0.0,725.77,0.0,95.28,165.84,1.33,1
1197.0,20.0,50.0,2.0,13.22,0.0,724.53,0.0,89.57,121.8,1.57,0
1211.0,10.0,51.0,3.0,17.11,656.02,726.18,0.1,65.66,158.04,1.95,1
1201.0,0.0,51.0,3.0,12.45,0.0,726.18,3.1,95.11,168.48,1.25,0
1244.0,19.0,52.0,4.0,13.53,0.0,724.58,0.0,88.02,137.16,1.99,1
1237.0,12.0,52.0,4.0,15.94,299.74,726.18,0.0,69.71,69.6,1.57,0
1259.0,10.0,53.0,5.0,16.67,552.65,726.22,0.0,61.61,157.32,1.71,1
1254.0,5.0,53.0,5.0,11.33,0.0,724.81,0.0,92.33,130.56,1.34,0
1292.0,19.0,54.0,6.0,14.24,0.0,724.56,0.0,75.12,26.28,2.41,1
1290.0,17.0,54.0,6.0,15.06,101.88,724.51,0.0,74.32,25.2,2.86,0
1315.0,18.0,55.0,0.0,14.93,60.08,724.53,0.0,80.66,115.56,1.53,1
1302.0,5.0,55.0,0.0,12.03,0.0,724.57,0.0,91.05,74.52,0.81,0
1331.0,10.0,56.0,1.0,14.58,208.67,726.77,0.0,80.16,133.92,1.35,1
1341.0,20.0,56.0,1.0,14.76,0.0,724.7,0.0,73.69,59.04,1.78,0
1354.0,9.0,57.0,2.0,13.81,316.24,726.89,0.0,80.42,161.4,1.47,1
1358.0,13.0,57.0,2.0,19.7,690.31,725.32,0.0,45.54,22.8,2.12,0
1380.0,11.0,58.0,3.0,17.26,538.87,727.33,0.0,62.91,158.28,1.6,1
1386.0,17.0,58.0,3.0,13.99,62.49,725.19,0.0,82.99,141.48,1.9,0
1402.0,9.0,59.0,4.0,14.32,444.57,727.84,0.0,74.44,99.0,1.36,1
1401.0,8.0,59.0,4.0,11.47,98.72,727.6,0.0,88.29,131.64,0.93,0
1435.0,18.0,60.0,5.0,12.8,50.37,725.23,0.1,87.89,155.76,1.47,1
1429.0,12.0,60.0,5.0,17.23,997.82,727.84,0.0,62.91,102.96,2.29,0
1452.0,11.0,61.0,6.0,15.81,419.18,727.75,0.0,70.58,165.0,1.56,1
1447.0,6.0,61.0,6.0,10.51,0.0,726.18,0.0,92.12,147.72,0.63,0
1482.0,17.0,62.0,0.0,14.45,113.84,724.53,0.0,76.46,23.28,1.59,1
1487.0,22.0,62.0,0.0,11.32,0.0,726.44,8.8,98.64,115.56,1.05,0
1507.0,18.0,63.0,1.0,13.42,22.51,724.53,0.0,81.6,113.4,1.33,1
1501.0,12.0,63.0,1.0,17.32,570.73,726.18,0.0,62.39,103.8,2.26,0
1530.0,17.0,64.0,2.0,14.19,37.34,724.95,0.0,75.85,199.08,1.9,1
1532.0,19.0,64.0,2.0,12.67,0.0,726.18,1.1,92.01,162.72,1.24,0
1555.0,18.0,65.0,3.0,15.84,73.22,725.15,0.0,66.16,42.12,1.8,1
1552.0,15.0,65.0,3.0,17.04,591.35,726.18,0.0,60.37,34.08,2.26,0
1577.0,16.0,66.0,4.0,18.18,453.0,724.53,0.0,50.36,79.44,3.06,1
1578.0,17.0,66.0,4.0,16.17,48.99,724.62,0.1,67.52,140.52,2.27,0
1605.0,20.0,67.0,5.0,12.93,0.0,727.03,0.0,81.62,160.92,1.83,1
1603.0,18.0,67.0,5.0,13.23,11.32,726.18,0.0,80.05,156.96,1.86,0
1625.0,16.0,68.0,6.0,12.57,35.71,726.65,0.0,87.03,187.56,1.79,1
1630.0,21.0,68.0,6.0,11.28,0.0,728.04,0.0,92.64,303.48,0.64,0
1652.0,19.0,69.0,0.0,11.5,0.0,726.31,9.1,96.23,225.24,1.59,1
1649.0,16.0,69.0,0.0,16.76,372.92,725.9,0.0,62.6,180.12,2.7,0
1667.0,10.0,70.0,1.0,14.93,542.94,727.84,0.0,73.61,111.48,1.21,1
1659.0,2.0,70.0,1.0,11.54,0.0,726.77,0.0,93.52,181.32,0.88,0
1690.0,9.0,71.0,2.0,13.23,150.11,727.76,0.0,86.31,190.32,1.51,1
1686.0,5.0,71.0,2.0,11.76,0.0,726.18,0.1,97.2,116.28,0.74,0
1722.0,17.0,72.0,3.0,16.5,163.46,722.53,0.0,65.68,29.76,2.65,1
1726.0,21.0,72.0,3.0,12.99,0.0,724.44,0.0,92.0,144.6,1.41,0
1747.0,18.0,73.0,4.0,15.26,6.01,721.82,0.0,68.74,159.12,2.77,1
1735.0,6.0,73.0,4.0,11.59,0.0,723.0,0.0,94.29,140.52,1.08,0
1772.0,19.0,74.0,5.0,11.08,0.0,722.25,2.8,92.26,152.28,0.9,1
1760.0,7.0,74.0,5.0,11.12,17.75,722.88,0.0,93.09,227.28,0.99,0
1796.0,19.0,75.0,6.0,12.55,0.0,720.88,2.2,92.84,150.0,1.28,1
1781.0,4.0,75.0,6.0,10.54,0.0,722.03,0.0,89.38,226.68,1.23,0
1810.0,9.0,76.0,0.0,13.06,225.16,722.42,0.0,82.18,191.28,1.26,1
1804.0,3.0,76.0,0.0,11.27,0.0,721.59,0.4,91.91,34.56,2.03,0
1844.0,19.0,77.0,1.0,13.41,0.0,722.13,0.0,83.17,51.96,1.16,1
1830.0,5.0,77.0,1.0,11.73,0.0,721.57,0.0,92.82,173.76,0.78,0
1857.0,8.0,78.0,2.0,12.56,58.62,722.55,0.0,78.32,229.8,0.84,1
1863.0,14.0,78.0,2.0,18.45,340.57,721.63,0.0,47.86,44.28,1.51,0
1893.0,20.0,79.0,3.0,14.11,0.0,721.44,0.0,69.15,182.28,1.34,1
1888.0,15.0,79.0,3.0,16.65,106.93,720.89,0.0,53.82,153.96,1.36,0
1906.0,9.0,80.0,4.0,13.77,200.14,722.85,0.0,76.23,265.2,0.68,1
1919.0,22.0,80.0,4.0,13.83,0.0,723.17,0.0,69.82,79.44,1.58,0
1921.0,0.0,81.0,5.0,13.14,0.0,723.42,0.0,78.45,252.6,0.87,1
1941.0,20.0,81.0,5.0,14.62,0.0,723.03,0.0,67.35,178.56,2.39,0
1947.0,2.0,82.0,6.0,12.78,0.0,723.05,0.0,79.44,185.04,0.89,1
1967.0,22.0,82.0,6.0,14.56,0.0,723.69,0.0,65.25,182.88,1.85,0
1988.0,19.0,83.0,0.0,12.73,0.0,722.1,2.5,87.75,159.6,1.53,1
1984.0,15.0,83.0,0.0,17.01,238.4,721.2,0.0,59.54,83.16,2.34,0
2014.0,21.0,84.0,1.0,12.98,0.0,723.32,0.0,90.34,187.8,1.64,1
2013.0,20.0,84.0,1.0,13.76,0.0,722.67,0.1,82.85,116.64,1.27,0
2025.0,8.0,85.0,2.0,12.37,46.2,724.0,0.0,90.82,223.2,0.78,1
2019.0,2.0,85.0,2.0,11.83,0.0,723.16,0.0,95.67,158.64,1.28,0
2049.0,8.0,86.0,3.0,11.75,71.47,724.16,0.1,81.33,186.0,1.96,1
2051.0,10.0,86.0,3.0,16.17,576.3,724.54,0.0,56.87,182.28,1.49,0
2082.0,17.0,87.0,4.0,16.43,21.75,720.25,0.0,63.76,186.84,1.87,1
2069.0,4.0,87.0,4.0,10.15,0.0,721.91,0.0,80.71,263.64,0.81,0
2098.0,9.0,88.0,5.0,13.78,259.6,722.82,0.0,80.65,212.64,1.81,1
2107.0,18.0,88.0,5.0,15.74,34.32,720.28,0.0,80.01,138.12,1.84,0
2135.0,22.0,89.0,6.0,11.21,0.0,723.66,0.0,85.71,211.2,1.29,1
2120.0,7.0,89.0,6.0,11.84,8.95,721.76,0.0,90.93,68.88,1.01,0
2146.0,9.0,90.0,0.0,15.34,448.59,723.04,0.0,60.29,146.88,1.09,1
2160.0,23.0,90.0,0.0,12.58,0.0,722.9,0.0,88.68,255.72,0.67,0
2168.0,7.0,91.0,1.0,10.65,23.95,722.85,0.0,58.84,244.8,1.54,1
2172.0,11.0,91.0,1.0,19.83,929.77,722.69,0.0,23.54,169.56,2.01,0
2203.0,18.0,92.0,2.0,17.32,80.03,720.4,0.0,45.55,91.32,1.79,1
2199.0,14.0,92.0,2.0,21.15,986.52,720.97,0.0,35.24,102.96,2.69,0
2227.0,18.0,93.0,3.0,14.02,7.58,720.74,10.1,77.74,190.08,2.7,1
2232.0,23.0,93.0,3.0,11.84,0.0,722.52,0.0,90.14,221.88,0.69,0
2242.0,9.0,94.0,4.0,15.15,432.29,722.09,0.0,64.26,186.36,2.35,1
2251.0,18.0,94.0,4.0,16.27,16.34,720.4,0.0,70.62,76.92,2.36,0
2257.0,0.0,95.0,5.0,12.04,0.0,722.46,0.0,89.71,236.28,1.17,1
2280.0,23.0,95.0,5.0,14.96,0.0,722.17,0.0,64.58,204.0,2.54,0
2301.0,20.0,96.0,6.0,15.63,0.0,720.62,0.0,67.12,24.96,2.14,1
2290.0,9.0,96.0,6.0,16.43,360.28,721.73,0.0,52.42,181.68,3.16,0
2313.0,8.0,97.0,0.0,12.93,92.72,722.05,0.0,75.45,207.12,1.73,1
2305.0,0.0,97.0,0.0,13.12,0.0,721.76,0.0,85.33,231.84,0.99,0
2336.0,7.0,98.0,1.0,11.83,16.53,721.79,0.0,80.32,271.8,0.69,1
2331.0,2.0,98.0,1.0,12.18,0.0,721.54,0.0,67.32,255.48,0.92,0
2361.0,8.0,99.0,2.0,14.7,184.91,722.57,0.0,61.19,172.92,1.16,1
2354.0,1.0,99.0,2.0,11.43,0.0,723.06,0.0,73.82,321.36,0.99,0
2386.0,9.0,100.0,3.0,16.57,475.41,723.3,0.0,52.94,111.36,1.31,1
2395.0,18.0,100.0,3.0,16.61,67.51,720.5,0.0,54.48,123.72,2.82,0
2424.0,23.0,101.0,4.0,12.15,0.0,722.05,0.0,71.1,284.52,0.91,1
2418.0,17.0,101.0,4.0,18.71,183.47,719.16,0.0,44.98,129.48,3.08,0
2444.0,19.0,102.0,5.0,15.59,0.0,720.08,0.0,61.16,87.24,1.97,1
2446.0,21.0,102.0,5.0,14.08,0.0,721.33,0.0,72.23,29.88,2.16,0
2450.0,1.0,103.0,6.0,13.15,0.0,721.31,0.0,64.07,242.52,1.99,1
2456.0,7.0,103.0,6.0,12.73,29.35,720.87,0.0,59.67,210.96,1.9,0
2480.0,7.0,104.0,0.0,10.77,34.86,721.34,0.0,68.72,224.64,1.09,1
2477.0,4.0,104.0,0.0,11.9,0.0,720.79,0.0,62.34,259.08,1.08,0
2513.0,16.0,105.0,1.0,15.33,229.0,719.16,0.0,72.13,202.32,1.73,1
2520.0,23.0,105.0,1.0,12.05,0.0,722.0,0.0,94.11,166.08,0.93,0
2535.0,14.0,106.0,2.0,18.65,404.43,720.62,0.0,56.1,121.68,2.6,1
2528.0,7.0,106.0,2.0,10.52,1.94,721.65,1.6,92.58,27.12,1.78,0
2556.0,11.0,107.0,3.0,18.36,868.96,722.32,0.0,54.44,157.68,1.38,1
2562.0,17.0,107.0,3.0,16.17,23.54,719.83,0.0,64.68,185.04,3.27,0
2586.0,17.0,108.0,4.0,16.75,57.05,719.43,0.0,62.18,170.28,2.7,1
2589.0,20.0,108.0,4.0,13.85,0.0,720.83,0.0,82.95,247.08,1.38,0
2612.0,19.0,109.0,5.0,15.55,0.0,720.88,0.0,66.2,44.16,1.99,1
2593.0,0.0,109.0,5.0,13.05,0.0,721.74,0.0,93.41,33.96,1.18,0
2626.0,9.0,110.0,6.0,15.54,277.32,723.29,0.0,66.81,166.44,1.79,1
2638.0,21.0,110.0,6.0,13.92,0.0,722.43,0.0,64.72,247.92,1.03,0
2650.0,9.0,111.0,0.0,14.97,200.28,723.31,0.0,68.13,154.44,1.43,1
2661.0,20.0,111.0,0.0,15.29,0.0,721.69,0.0,72.27,33.72,2.06,0
2674.0,9.0,112.0,1.0,14.94,281.06,723.7,0.0,77.35,140.52,1.44,1
2683.0,18.0,112.0,1.0,17.72,44.76,720.68,0.0,57.01,13.92,2.34,0
2699.0,10.0,113.0,2.0,16.06,402.3,723.64,0.0,68.36,155.16,1.85,1
2698.0,9.0,113.0,2.0,14.54,384.31,723.53,0.0,75.05,176.04,1.43,0
2724.0,11.0,114.0,3.0,13.95,161.48,724.9,0.1,77.57,196.2,1.52,1
2714.0,1.0,114.0,3.0,12.62,0.0,723.86,0.0,91.49,153.6,1.02,0
2755.0,18.0,115.0,4.0,15.09,8.45,721.04,0.0,81.45,174.24,1.95,1
2751.0,14.0,115.0,4.0,19.5,379.36,721.31,0.0,51.51,82.44,3.15,0
2779.0,18.0,116.0,5.0,11.95,8.33,721.31,2.3,89.55,297.0,1.31,1
2764.0,3.0,116.0,5.0,12.66,0.0,722.05,0.0,92.66,60.72,1.26,0
2803.0,18.0,117.0,6.0,12.66,6.47,721.57,1.1,87.47,68.04,1.79,1
2797.0,12.0,117.0,6.0,17.18,485.02,723.29,0.0,65.97,115.8,2.03,0
2829.0,20.0,118.0,0.0,13.69,0.0,721.93,0.0,77.11,162.36,1.65,1
2830.0,21.0,118.0,0.0,13.38,0.0,722.33,0.0,82.49,182.4,1.41,0
2842.0,9.0,119.0,1.0,14.66,266.21,722.51,0.0,80.49,175.08,1.11,1
2846.0,13.0,119.0,1.0,18.5,600.91,721.8,0.1,52.23,126.6,2.32,0
2869.0,12.0,120.0,2.0,16.43,286.66,723.15,0.0,66.4,113.16,1.75,1
2876.0,19.0,120.0,2.0,14.07,0.0,721.75,0.0,86.87,190.68,1.2,0
2890.0,9.0,121.0,3.0,14.96,275.84,723.11,0.0,69.96,164.88,1.06,1
2881.0,0.0,121.0,3.0,12.76,0.0,723.33,0.0,90.14,306.96,0.72,0
2920.0,15.0,122.0,4.0,15.77,240.4,722.71,0.0,71.48,113.16,1.21,1
2909.0,4.0,122.0,4.0,11.87,0.0,721.84,0.0,94.27,102.72,1.1,0
2947.0,18.0,123.0,5.0,16.39,34.46,723.2,0.0,64.15,20.88,1.72,1
2933.0,4.0,123.0,5.0,11.87,0.0,722.28,0.2,94.15,196.68,0.7,0
2971.0,18.0,124.0,6.0,12.7,12.75,723.14,0.3,88.91,180.84,1.17,1
2953.0,0.0,124.0,6.0,12.7,0.0,725.37,0.0,92.29,233.28,0.64,0
2994.0,17.0,125.0,0.0,11.59,31.47,721.83,21.6,97.3,198.6,1.83,1
2999.0,22.0,125.0,0.0,12.34,0.0,724.0,0.0,98.15,163.92,0.58,0
3018.0,17.0,126.0,1.0,15.11,18.53,722.15,0.6,73.58,202.44,1.76,1
3021.0,20.0,126.0,1.0,12.39,0.0,723.52,2.5,88.47,109.92,0.43,0
3036.0,11.0,127.0,2.0,15.43,328.69,724.95,0.0,73.47,115.44,0.59,1
3033.0,8.0,127.0,2.0,11.81,65.63,724.24,0.0,92.79,150.6,0.34,0
3062.0,13.0,128.0,3.0,14.16,281.91,724.7,0.0,81.78,147.6,0.81,1
3061.0,12.0,128.0,3.0,14.69,486.08,725.01,0.0,81.11,167.76,0.47,0
3088.0,15.0,129.0,4.0,13.24,84.31,722.36,1.2,85.41,271.92,1.17,1
3093.0,20.0,129.0,4.0,12.11,0.0,724.15,0.1,92.58,110.76,1.16,0
3110.0,13.0,130.0,5.0,17.28,332.9,723.25,0.1,60.78,73.68,1.99,1
3106.0,9.0,130.0,5.0,13.16,339.86,724.94,0.0,84.66,123.0,1.06,0
3130.0,9.0,131.0,6.0,13.59,331.29,724.06,0.0,83.13,195.48,1.27,1
3136.0,15.0,131.0,6.0,16.57,381.05,721.46,0.0,70.18,272.52,1.75,0
3163.0,18.0,132.0,0.0,12.75,15.27,720.64,0.0,88.79,246.36,1.04,1
3153.0,8.0,132.0,0.0,10.97,39.2,723.2,0.2,93.41,87.0,0.79,0
3176.0,7.0,133.0,1.0,11.09,28.31,721.04,0.0,81.68,216.6,0.79,1
3171.0,2.0,133.0,1.0,11.06,0.0,721.44,0.0,94.0,316.32,0.96,0
3201.0,8.0,134.0,2.0,14.78,226.41,722.26,0.0,75.84,164.4,1.54,1
3211.0,18.0,134.0,2.0,14.65,52.81,720.8,0.0,62.8,71.52,2.67,0
3224.0,7.0,135.0,3.0,11.58,17.98,722.22,0.0,79.54,327.24,0.88,1
3228.0,11.0,135.0,3.0,16.37,285.77,723.26,0.0,60.16,67.08,1.44,0
3259.0,18.0,136.0,4.0,14.83,21.5,720.59,0.0,79.0,134.76,2.01,1
3243.0,2.0,136.0,4.0,11.51,0.0,722.63,0.0,95.45,126.24,0.99,0
3275.0,10.0,137.0,5.0,16.94,624.76,722.85,0.0,62.47,117.6,1.56,1
3283.0,18.0,137.0,5.0,14.36,6.41,720.55,0.6,83.48,213.12,2.06,0
3298.0,9.0,138.0,6.0,13.98,230.05,723.07,0.0,77.37,185.88,1.0,1
3304.0,15.0,138.0,6.0,18.87,204.6,721.73,0.0,47.53,173.64,1.89,0
3320.0,7.0,139.0,0.0,12.23,29.8,722.5,0.0,72.5,211.56,2.48,1
3316.0,3.0,139.0,0.0,10.62,0.0,722.31,0.0,91.71,232.32,0.86,0
3347.0,10.0,140.0,1.0,15.64,325.28,723.7,0.0,71.37,26.52,1.38,1
3351.0,14.0,140.0,1.0,17.23,841.81,722.82,0.0,57.9,26.04,3.81,0
3369.0,8.0,141.0,2.0,13.45,193.16,723.93,0.0,75.82,251.64,1.13,1
3363.0,2.0,141.0,2.0,11.24,0.0,724.02,0.0,96.76,154.32,1.14,0
3395.0,10.0,142.0,3.0,15.89,422.1,723.76,0.0,70.38,201.6,1.18,1
3408.0,23.0,142.0,3.0,12.6,0.0,723.34,0.0,94.6,128.76,1.31,0
3419.0,10.0,143.0,4.0,17.11,642.32,724.23,0.0,62.24,161.4,1.61,1
3413.0,4.0,143.0,4.0,10.74,0.0,722.25,1.6,98.84,151.08,1.24,0
3440.0,7.0,144.0,5.0,10.57,21.47,722.41,0.0,86.06,195.84,1.29,1
3434.0,1.0,144.0,5.0,10.74,0.0,723.9,1.5,93.86,194.64,1.66,0
3475.0,18.0,145.0,6.0,15.34,78.95,721.05,0.0,62.97,110.16,1.17,1
3467.0,10.0,145.0,6.0,18.01,663.61,722.31,0.0,45.44,96.36,1.39,0
3489.0,8.0,146.0,0.0,13.92,121.05,722.19,0.0,68.83,201.6,1.28,1
3483.0,2.0,146.0,0.0,11.73,0.0,721.97,0.0,75.86,305.76,1.04,0
3514.0,9.0,147.0,1.0,13.72,192.27,722.82,0.0,74.17,161.28,0.89,1
3528.0,23.0,147.0,1.0,12.99,0.0,722.4,0.0,81.5,312.0,0.82,0
3538.0,9.0,148.0,2.0,14.54,283.99,722.05,0.0,73.69,187.8,1.42,1
3542.0,13.0,148.0,2.0,19.56,649.2,721.07,0.0,46.25,166.68,2.08,0
3569.0,16.0,149.0,3.0,13.06,29.64,720.09,8.6,90.11,172.56,1.62,1
3573.0,20.0,149.0,3.0,12.16,0.0,721.05,0.0,92.94,42.24,1.01,0
